id,location_id,name,category,avg_rating,review_count,entry_fee,opening_hours,created_at,updated_at,latitude,longitude,description,best_season,avg_visit_time,transport,nearby_hotels,nearby_restaurants
plc-san-thome,loc-chn,San Thome Basilica,Religious,4.7,1420,0,06:00 - 21:00,04-09-2026 00:00,04-09-2026 00:00,13.03361,80.27778,"San Thome Basilica is a notable religious attraction located in Chennai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-elliots-beach,loc-chn,Edward Elliot's Beach (Bessie),Beach,4.5,3120,0,24 Hours (Best: 05:00 - 08:30 & 16:30 - 21:00),04-09-2026 00:00,04-09-2026 00:00,12.99953,80.27241,"Edward Elliot's Beach (Bessie) is a notable beach attraction located in Chennai, popular among visitors exploring the region.",Nov-Feb,2-3 hours,Accessible by auto/taxi; well connected to the city centre,Beachfront resorts and budget guesthouses nearby,Seafood shacks and multi-cuisine restaurants nearby
plc-fort-st-george,loc-chn,Fort St. George & Museum,Historical,4.4,980,25,09:00 - 17:00 (Closed Fridays),04-09-2026 00:00,04-09-2026 00:00,13.07972,80.28694,"Fort St. George & Museum is a notable historical attraction located in Chennai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-egmore-museum,loc-chn,Government Museum Chennai,Museum,4.5,2450,20,09:30 - 17:00 (Closed Fridays),04-09-2026 00:00,04-09-2026 00:00,13.0706,80.2567,"Government Museum Chennai is a notable museum attraction located in Chennai, popular among visitors exploring the region.",Year-round (indoor),1-2 hours,Accessible by city bus/auto/taxi,Budget to mid-range city hotels nearby,Multi-cuisine restaurants and cafes nearby
plc-guindy-park,loc-chn,Guindy National Park,Nature,4.2,1850,20,09:00 - 17:30 (Closed Tuesdays),04-09-2026 00:00,04-09-2026 00:00,13.0089,80.2406,"Guindy National Park is a notable nature attraction located in Chennai, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-vandalur-zoo,loc-chn,Arignar Anna Zoological Park,Nature,4.3,4200,50,09:00 - 17:00 (Closed Tuesdays),04-09-2026 00:00,04-09-2026 00:00,12.87917,80.08167,"Arignar Anna Zoological Park is a notable nature attraction located in Chennai, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-dakshinachitra,loc-chn,DakshinaChitra Heritage Museum,Heritage,4.6,1890,175,10:00 - 18:00 (Closed Tuesdays),04-09-2026 00:00,04-09-2026 00:00,12.82242,80.2431,"DakshinaChitra Heritage Museum is a notable heritage attraction located in Chennai, popular among visitors exploring the region.",Oct-Mar,2-3 hours,Accessible by bus/auto/taxi; well connected via nearest highway,Heritage havelis to budget hotels available nearby,Local and multi-cuisine restaurants nearby
plc-valluvar-kottam,loc-chn,Valluvar Kottam,Historical,4.3,1650,10,08:30 - 17:30,04-09-2026 00:00,04-09-2026 00:00,13.05441,80.24175,"Valluvar Kottam is a notable historical attraction located in Chennai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-parthasarathy,loc-chn,Arulmigu Parthasarathy Temple,Religious,4.8,3100,0,"06:00 - 12:30, 16:00 - 21:00",04-09-2026 00:00,04-09-2026 00:00,13.0506,80.2739,"Arulmigu Parthasarathy Temple is a notable religious attraction located in Chennai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-ashtalakshmi,loc-chn,Ashtalakshmi Temple,Religious,4.6,2200,0,"06:30 - 12:00, 16:00 - 21:00",04-09-2026 00:00,04-09-2026 00:00,12.9931,80.2686,"Ashtalakshmi Temple is a notable religious attraction located in Chennai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-marundeeswarar,loc-chn,Marundeeswarar Temple,Religious,4.7,1950,0,"06:00 - 12:00, 16:00 - 21:00",04-09-2026 00:00,04-09-2026 00:00,12.98556,80.26139,"Marundeeswarar Temple is a notable religious attraction located in Chennai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-kalakshetra,loc-chn,Kalakshetra Foundation,Heritage,4.6,670,100,09:00 - 17:00 (Closed Sundays),04-09-2026 00:00,04-09-2026 00:00,12.9881,80.265,"Kalakshetra Foundation is a notable heritage attraction located in Chennai, popular among visitors exploring the region.",Oct-Mar,2-3 hours,Accessible by bus/auto/taxi; well connected via nearest highway,Heritage havelis to budget hotels available nearby,Local and multi-cuisine restaurants nearby
plc-birla-planetarium,loc-chn,Birla Planetarium,Museum,4.3,2100,30,10:00 - 17:45,04-09-2026 00:00,04-09-2026 00:00,13.012,80.2437,"Birla Planetarium is a notable museum attraction located in Chennai, popular among visitors exploring the region.",Year-round (indoor),1-2 hours,Accessible by city bus/auto/taxi,Budget to mid-range city hotels nearby,Multi-cuisine restaurants and cafes nearby
plc-theosophical,loc-chn,Theosophical Society Gardens,Nature,4.5,1340,0,"08:30 - 10:00, 14:00 - 16:00",04-09-2026 00:00,04-09-2026 00:00,13.0036,80.2581,"Theosophical Society Gardens is a notable nature attraction located in Chennai, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-semmozhi-poonga,loc-chn,Semmozhi Poonga,Nature,4.2,1980,15,10:00 - 19:30 (Closed Tuesdays),04-09-2026 00:00,04-09-2026 00:00,13.009,80.2406,"Semmozhi Poonga is a notable nature attraction located in Chennai, popular among visitors exploring the region.",Oct-Feb,2-4 hours,Accessible by taxi/private vehicle; some stretches need trekking,Resorts and homestays available nearby,Local eateries and resort restaurants nearby
plc-vadapalani-murugan,loc-chn,Vadapalani Murugan Temple,Religious,4.7,2800,0,"05:30 - 12:30, 16:00 - 21:00",04-09-2026 00:00,04-09-2026 00:00,13.0528,80.2136,"Vadapalani Murugan Temple is a notable religious attraction located in Chennai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-ripon-building,loc-chn,Ripon Building & Victoria Public Hall,Historical,4.4,750,0,External View / 09:00 - 17:00,04-09-2026 00:00,04-09-2026 00:00,13.0825,80.2715,"Ripon Building & Victoria Public Hall is a notable historical attraction located in Chennai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-st-thomas-mount,loc-chn,St. Thomas Mount National Shrine,Religious,4.6,1820,0,06:00 - 20:00,04-09-2026 00:00,04-09-2026 00:00,12.9972,80.1639,"St. Thomas Mount National Shrine is a notable religious attraction located in Chennai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi from the nearest town centre,Budget to mid-range hotels and lodges available nearby,Local vegetarian and South Indian eateries nearby
plc-rail-museum,loc-chn,Chennai Rail Museum,Museum,4.4,1290,50,10:00 - 17:00 (Closed Mondays),04-09-2026 00:00,04-09-2026 00:00,13.0897,80.2606,"Chennai Rail Museum is a notable museum attraction located in Chennai, popular among visitors exploring the region.",Year-round (indoor),1-2 hours,Accessible by city bus/auto/taxi,Budget to mid-range city hotels nearby,Multi-cuisine restaurants and cafes nearby
plc-connemara-library,loc-chn,Connemara Public Library,Historical,4.6,920,0,09:00 - 17:30,04-09-2026 00:00,04-09-2026 00:00,13.07056,80.25667,"Connemara Public Library is a notable historical attraction located in Chennai, popular among visitors exploring the region.",Oct-Mar,1-2 hours,Accessible by local bus/auto/taxi,Heritage and budget hotels available in the vicinity,Local and multi-cuisine restaurants nearby
plc-covelong-beach,loc-chn,Covelong (Kovalam) Beach,Beach,4.4,2150,0,24 Hours (Best: 06:00 - 18:00),04-09-2026 00:00,04-09-2026 00:00,12.7896,80.2542,"Covelong (Kovalam) Beach is a notable beach attraction located in Chennai, popular among visitors exploring the region.",Nov-Feb,2-3 hours,Accessible by auto/taxi; well connected to the city centre,Beachfront resorts and budget guesthouses nearby,Seafood shacks and multi-cuisine restaurants nearby
