id,name,state,country,currency_code,description,latitude,longitude,region,created_at,updated_at
loc-arl,Ariyalur,Tamil Nadu,India,INR,"Cement and limestone belt on the Kollidam river, home to the Sendurai fossil wood/dinosaur fossil sites and the historic Gangaikonda Cholapuram temple nearby.",11.1401,79.0982,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-cgl,Chengalpattu,Tamil Nadu,India,INR,Coastal heritage district housing the 7th-century UNESCO World Heritage rock-cut monuments and shore temples of Mamallapuram (Mahabalipuram).,12.6819,79.9888,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-chn,Chennai,Tamil Nadu,India,INR,"Capital city known for its colonial heritage, Marina Beach, classical Carnatic music scene, and historic temples like Kapaleeshwarar.",13.0827,80.2707,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-cbe,Coimbatore,Tamil Nadu,India,INR,"Major industrial and textile hub situated along the Western Ghats, serving as the transit gateway to Nilgiris hill stations and the Adiyogi Shiva bust.",11.0168,76.9558,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-cud,Cuddalore,Tamil Nadu,India,INR,"Coastal town known for the Silver Beach, mangrove forests of Pichavaram (one of the largest in India), and the Nataraja Temple in Chidambaram.",11.748,79.7714,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-dpi,Dharmapuri,Tamil Nadu,India,INR,"Forest and agricultural district popular for Hogenakkal Falls on the Kaveri river, often referred to as the Niagara of India.",12.1277,78.158,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-dgl,Dindigul,Tamil Nadu,India,INR,"Home to the misty hill resort town of Kodaikanal, historical rock forts, and known regionally for handmade brass lock craftsmanship.",10.3673,77.9803,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-erd,Erode,Tamil Nadu,India,INR,Major agricultural and turmeric market district featuring the confluence of the Bhavani and Kaveri rivers at Bhavani Sangameshwarar Temple.,11.341,77.7172,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-klk,Kallakurichi,Tamil Nadu,India,INR,"Newly formed agrarian district carved from Villupuram, nestled below the Kalvarayan Hills and known for sugarcane farming and cool hill viewpoints.",11.7383,78.9591,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-kpm,Kanchipuram,Tamil Nadu,India,INR,"The City of Thousand Temples and world-famous silk sarees, featuring historic Dravidian landmarks such as Kailasanathar and Ekambareswarar temples.",12.8342,79.7036,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
loc-kkm,Kanyakumari,Tamil Nadu,India,INR,"The southernmost tip of mainland India where three seas converge, famed for sunrise views, the Vivekananda Rock Memorial, and the Thiruvalluvar Statue.",8.178,77.4346,Southern,2026-09-04 00:00:00,2026-09-04 00:00:00
